Date,Description,Amount,Category,Payment Modality
6/21/2024,KROGER,21.98,Grocery,Online
6/20/2024,MINT MOBILE,113.84,Phone/Cables,Online
6/19/2024,CHIPOTLE,9.46,Dining,Online
6/18/2024,KROGER,5.64,Grocery,Online
6/18/2024,HULU,1.99,Subscription,Online
6/18/2024,Wall Street,2,Other,Online
6/17/2024,KROGER,6.51,Grocery,Online
6/14/2024,ALDI,11.68,Grocery,Online
6/15/2024,KROGER,25.55,Grocery,Online
6/13/2024,KROGER,13.24,Grocery,Online
6/11/2024,KROGER,17.04,Grocery,Online
6/8/2024,ALDI,5.94,Grocery,Online
6/9/2024,DOORDASH,46.22,Dining,Online
6/9/2024,COMCAST,59.99,Phone/Cables,Online
6/8/2024,KROGER,6.27,Grocery,Online
6/5/2024,ALDI,12.84,Grocery,Online
6/6/2024,KROGER,15.46,Grocery,Online
6/4/2024,KROGER,6.96,Grocery,Online
6/4/2024,NETFLIX.COM,6.99,Subscription,Online
6/3/2024,KROGER,31.61,Grocery,Online
5/30/2024,KROGER,13.78,Grocery,Online
5/30/2024,APPLE,0.99,Phone/Cables,Online
5/27/2024,KROGER,13.5,Grocery,Online
5/25/2024,KROGER,5.94,Grocery,Online
5/23/2024,ALDI,15.49,Grocery,Online
5/22/2024,ALDI,4.42,Grocery,Online
5/22/2024,KROGER,3.54,Grocery,Online
5/21/2024,Wall Street,2,Other,Online
5/20/2024,Amazon,65.4,Merchandise,Online
5/19/2024,PROGRESSIVE,226,Insurance,Online
5/17/2024,ALDI,10.72,Grocery,Online
5/18/2024,HULU,1.99,Subscription,Online
5/10/2024,GREAT WALL SUPERMARKET,24.13,Grocery,Online
5/10/2024,LIDL,12.32,Grocery,Online
5/9/2024,99 RANCH,6.05,Grocery,Online
5/9/2024,COMCAST,59.99,Phone/Cables,Online
5/8/2024,Amazon,84.4,Merchandise,Online
5/4/2024,NETFLIX.COM,6.99,Subscription,Online
5/3/2024,TEMU.COM,21,Merchandise,Online
5/2/2024,UBER EATS,13.05,Dining,Online
5/1/2024,UBER EATS,10.69,Dining,Online
4/30/2024,UBER EATS,11.09,Dining,Online
4/25/2024,Amazon,5.64,Merchandise,Online
4/23/2024,UBER EATS,12.51,Dining,Online
4/23/2024,Amazon,105.29,Merchandise,Online
4/23/2024,Wall Street,2,Other,Online
4/21/2024,Amazon,5.03,Merchandise,Online
4/18/2024,HULU,1.99,Subscription,Online
4/16/2024,UBER EATS,12.58,Dining,Online
4/13/2024,CHICK-FIL-A,7.55,Dining,Online
4/14/2024,Amazon,11.81,Merchandise,Online
4/14/2024,WEEE INC.,27.29,Grocery,Online
4/10/2024,UBER EATS,25.41,Dining,Online
4/9/2024,Amazon,5.19,Merchandise,Online
